GameNo,Tm,D/N,Attendance,API DATE Format
1,BOS,D,37057,2009-04-07
2,BOS,N,37552,2009-04-08
3,BOS,D,37784,2009-04-09
10,BOS,N,38266,2009-04-17
11,BOS,N,37559,2009-04-18
12,BOS,D,37869,2009-04-19
13,BOS,D,37865,2009-04-20
14,BOS,D,37608,2009-04-22
15,BOS,N,37494,2009-04-22
16,BOS,N,38163,2009-04-24
17,BOS,D,37699,2009-04-25
18,BOS,N,38154,2009-04-26
28,BOS,N,37888,2009-05-06
29,BOS,N,37541,2009-05-07
30,BOS,N,37745,2009-05-08
31,BOS,D,37773,2009-05-09
32,BOS,N,37759,2009-05-10
39,BOS,N,37830,2009-05-19
40,BOS,N,38099,2009-05-20
41,BOS,N,38347,2009-05-21
42,BOS,N,38092,2009-05-22
43,BOS,N,37871,2009-05-23
44,BOS,D,37446,2009-05-24
55,BOS,N,37519,2009-06-05
56,BOS,N,37828,2009-06-06
57,BOS,D,37537,2009-06-07
58,BOS,N,37883,2009-06-09
59,BOS,N,38121,2009-06-10
60,BOS,N,38153,2009-06-11
64,BOS,N,38149,2009-06-16
65,BOS,N,38196,2009-06-17
66,BOS,N,37577,2009-06-18
67,BOS,N,37703,2009-06-19
68,BOS,N,38029,2009-06-20
69,BOS,D,37243,2009-06-21
79,BOS,N,38078,2009-07-03
80,BOS,D,37656,2009-07-04
81,BOS,D,37691,2009-07-05
82,BOS,N,38294,2009-07-06
83,BOS,N,37676,2009-07-07
84,BOS,N,37981,2009-07-08
85,BOS,N,38189,2009-07-09
86,BOS,N,38116,2009-07-10
87,BOS,N,37825,2009-07-11
88,BOS,D,37612,2009-07-12
95,BOS,N,38058,2009-07-24
96,BOS,N,38063,2009-07-25
97,BOS,D,37606,2009-07-26
98,BOS,N,37955,2009-07-27
99,BOS,N,38084,2009-07-28
100,BOS,N,38193,2009-07-29
101,BOS,D,37919,2009-07-30
111,BOS,N,37960,2009-08-10
112,BOS,N,38013,2009-08-11
113,BOS,N,38124,2009-08-12
114,BOS,D,37556,2009-08-13
121,BOS,N,37869,2009-08-21
122,BOS,D,37277,2009-08-22
123,BOS,N,38008,2009-08-23
124,BOS,N,37812,2009-08-24
125,BOS,N,38059,2009-08-25
126,BOS,N,37839,2009-08-26
127,BOS,N,38003,2009-08-27
128,BOS,N,37844,2009-08-28
129,BOS,N,37452,2009-08-29
130,BOS,D,37560,2009-08-30
138,BOS,N,37647,2009-09-08
139,BOS,N,37712,2009-09-09
140,BOS,N,37755,2009-09-12
141,BOS,D,38228,2009-09-13
142,BOS,N,37271,2009-09-13
143,BOS,N,37942,2009-09-15
144,BOS,N,37706,2009-09-16
145,BOS,N,38157,2009-09-17
156,BOS,N,37591,2009-09-28
157,BOS,N,37618,2009-09-29
158,BOS,N,37246,2009-09-30
159,BOS,N,37459,2009-10-01
160,BOS,N,37787,2009-10-02
161,BOS,N,37562,2009-10-03
162,BOS,D,37247,2009-10-04
7,CHC,D,40077,2009-04-13
8,CHC,D,39361,2009-04-15
9,CHC,D,38909,2009-04-16
10,CHC,D,40250,2009-04-17
11,CHC,D,40878,2009-04-18
12,CHC,N,38403,2009-04-21
13,CHC,N,38738,2009-04-22
14,CHC,D,40039,2009-04-23
21,CHC,N,37956,2009-04-30
22,CHC,D,38336,2009-05-01
23,CHC,D,40083,2009-05-02
24,CHC,D,40457,2009-05-03
25,CHC,N,39112,2009-05-04
26,CHC,D,39497,2009-05-05
32,CHC,N,39963,2009-05-12
33,CHC,N,38410,2009-05-13
34,CHC,D,39728,2009-05-14
35,CHC,D,40549,2009-05-16
36,CHC,D,40478,2009-05-17
43,CHC,N,38942,2009-05-25
44,CHC,N,38303,2009-05-26
45,CHC,D,38314,2009-05-27
46,CHC,N,39579,2009-05-28
47,CHC,D,40148,2009-05-29
